case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity
PGM-Learned-Naive,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,0,0.8,-1,34.4979,1.05211,0.0248683,196,199994,1611844,0,0,0,0,0,0,0,0,0,0,1548,452,0,0,0,7856,16717,64546593,9492,0,3548,122,0,29,29,8861,7856,8,1548,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.25,1,0.95,0.581971,0.996314,0.990705,0.5,0.976086,0,1.07143,0.00546647,38.1429,0.194606
PGM-Learned-Naive,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,1,0.8,-1,33.4777,1.02118,0.0244976,196,200015,1611109,0,0,0,0,0,0,0,0,0,0,1583,417,0,0,0,7996,16398,65713674,8757,0,3583,87,0,24,24,8402,7996,6,1583,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.375,1,1,0.621554,0.977644,0.976763,0.5,0.983488,0,1.05102,0.00536235,41.7143,0.212828
PGM-Learned-Naive,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,naive,mock,2,0.8,-1,34.6679,1.05949,0.0265878,196,200019,1610605,0,0,0,0,0,0,0,0,0,0,1607,393,0,0,0,8193,16458,67298825,8253,0,3607,100,0,27,27,8265,8193,7,1607,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.35,1,0.975,0.700881,0.967548,0.965385,0.5,0.991166,0,1.15306,0.00588297,43.4694,0.221783
LOCI-Full,loci,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,full,mock,0,0.8,-1,881.849,2.82501,6.95935,341,199994,50388864,116563,2728,992898,8.51812,44712576,698368,87296,2793472,15852568,0.328267,1548,452,78,47,0,12137,2456576,160137984,28928,24359424,3542,227120,884790,2048,2048,1553536,0,128,0,1024,16,128,64,922,256,128,256,64,256,78,47,0,7,7,0,46,1,0,0,0,0,341,69,0.289855,1,0.347826,0.629103,0.998535,0.501838,0.587676,0.0481918,0.151132,1.32845,0.00389574,339.006,0.994152
LOCI-Full,loci,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,full,mock,1,0.8,-1,883.881,2.86069,8.30994,348,200015,50330112,116558,2784,984876,8.44966,45628928,712704,89088,2850816,15851888,0.32166,1583,417,83,54,0,12431,2533376,165122816,26688,27050752,3598,234996,923528,2048,2048,1591168,0,128,0,1024,16,128,64,922,256,128,256,64,256,83,54,0,6,6,0,53,1,0,0,0,0,348,70,0.4,1,0.214286,0.711254,0.981501,0.503597,0.503649,0.00511495,0.0395748,1.50575,0.00432686,344.023,0.988572
LOCI-Full,loci,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,full,mock,2,0.8,-1,877.362,2.77231,7.72199,343,200019,50669312,116571,2744,988032,8.4758,44972032,702464,87808,2809856,15853656,0.326394,1607,393,71,49,0,12488,2519040,164223296,25152,23935744,3626,228403,901761,2048,2048,1598464,0,128,0,1024,16,128,64,922,256,128,256,64,256,71,49,0,6,6,0,48,1,0,0,0,0,343,69,0.333333,1,0.333333,0.730668,0.985216,0.5,0.514546,0,0.0909511,1.38484,0.00403743,343,1
PGM-Learned-GlobalPad,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,globalpad,mock,0,0.8,-1,47.4814,22.8751,0.0353917,196,199994,6914048,0,0,0,0,0,0,0,0,0,0,1548,452,7,0,0,7856,39139632,2633146368,28928,172032,3548,122,38126208,25284,25284,1005568,0,128,0,1152,25284,128,64,0,0,0,0,64,16384,7,0,0,7,7,0,0,0,0,196,196,0,196,40,0.275,1,0.225,0.54391,0.996314,0.5,0.493269,0,0.0363488,2.28571,0.0116618,196,1
PGM-Learned-GlobalPad,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,globalpad,mock,1,0.8,-1,48.4321,23.0176,0.0345859,196,200015,6914048,0,0,0,0,0,0,0,0,0,0,1583,417,6,0,0,7996,40024572,2692067328,26688,147456,3583,87,38993088,25284,25284,1023488,0,128,0,1152,25284,128,64,0,0,0,0,64,16384,6,0,0,6,6,0,0,0,0,196,196,0,196,40,0.35,1,0.175,0.605288,0.977644,0.5,0.480769,0,-0.0795062,2.15306,0.010985,196,1
PGM-Learned-GlobalPad,pgm,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,globalpad,mock,2,0.8,-1,46.9976,22.8297,0.0368479,196,200019,6914048,0,0,0,0,0,0,0,0,0,0,1607,393,6,0,0,8193,40631388,2734118592,25152,147456,3607,100,39574491,25284,25284,1048704,0,128,0,1152,25284,128,64,0,0,0,0,64,16384,6,0,0,6,6,0,0,0,0,196,196,0,196,40,0.325,1,0.225,0.579487,0.967548,0.5,0.496474,0,-0.0291435,2.16327,0.0110371,196,1
FixedCell-Bitmap,fixedcell,200000,2000,1048576,1024,128,1024,16,64,90,25,skew,real_temporal,bitmap,mock,0,0.8,-1,34.45,1.06646,0.0223158,196,199994,1611844,0,0,0,0,0,0,0,0,0,0,1548,452,0,0,0,7579,16405,64826142,9492,0,0,0,0,29,29,8826,7579,8,1548,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,196,196,0,196,40,0.425,1,0.9,0.784455,1,0.982452,0.5,0.983317,0,1,0.00510204,36.1429,0.184402
