case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity
LOCI-Full,loci,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,full,mock,0,0.8,-1,363.777,31.6055,12.2308,4568,99986,41424384,68579,36544,0,0,18710528,4677632,292352,9355264,1097264,0.0332144,778,222,45,42,0,295743,10803456,691705088,14208,932928,1764,1171200,1040982,16384,16384,9463776,0,32,0,32,16,32,64,29,8,128,128,64,64,45,42,0,3,3,0,41,1,0,0,0,0,4568,914,0.33151,1,0.429978,0.653613,0.617615,0.38175,0.51093,0.0404727,0.181349,353.279,0.0773378,2967.01,0.649521
LOCI-Full,loci,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,full,mock,1,0.8,-1,359.691,31.9115,13.4765,4592,100010,41597952,68581,36736,0,0,18808832,4702208,293888,9404416,1097296,0.0330418,792,208,49,46,0,307071,11119616,711939968,13312,1019712,1802,1215160,983307,16384,16384,9826272,0,32,0,32,16,32,64,29,8,128,128,64,64,49,46,0,3,3,0,45,1,0,0,0,0,4592,919,0.318825,1,0.351469,0.639924,0.61099,0.356044,0.515088,0.0436368,0.232187,423.755,0.0922812,2785.37,0.606571
LOCI-Full,loci,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,full,mock,2,0.8,-1,358.805,31.9973,13.2563,4594,100012,41612416,68307,36752,0,0,18817024,4704256,294016,9408512,1092912,0.0328954,805,194,44,43,0,311608,11335680,725771520,12416,940160,1816,1169102,1049614,16384,16384,9971456,0,32,0,32,16,32,64,29,8,128,128,64,64,44,43,0,3,3,0,41,2,0,0,0,0,4594,919,0.324266,1,0.384113,0.630792,0.602829,0.355986,0.511694,0.0251196,0.254918,405.543,0.0882766,2791.71,0.607687
LOCI-NoProto,loci,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,noproto,mock,0,0.8,-1,367.189,32.1357,11.5343,4568,99986,45524864,68579,68579,0,0,18710528,8778112,292352,9355264,1097264,0.029547,778,222,45,42,0,295743,10803456,691705088,14208,1000512,1764,1171200,1040982,16384,16384,9463776,0,32,0,32,16,32,64,29,8,128,128,64,64,45,42,0,3,3,0,41,1,0,0,0,0,4568,914,0.33151,1,0.429978,0.653613,0.617615,0.38175,0.51093,0.0404727,0.181349,353.279,0.0773378,2967.01,0.649521
LOCI-NoProto,loci,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,noproto,mock,1,0.8,-1,371.397,32.57,14.6947,4592,100010,45674112,68581,68581,0,0,18808832,8778368,293888,9404416,1097296,0.0294296,792,208,49,46,0,307071,11119616,711939968,13312,1086784,1802,1215160,983307,16384,16384,9826272,0,32,0,32,16,32,64,29,8,128,128,64,64,49,46,0,3,3,0,45,1,0,0,0,0,4592,919,0.318825,1,0.351469,0.639924,0.61099,0.356044,0.515088,0.0436368,0.232187,423.755,0.0922812,2785.37,0.606571
LOCI-NoProto,loci,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,noproto,mock,2,0.8,-1,371.492,32.5838,14.4652,4594,100012,45651456,68307,68307,0,0,18817024,8743296,294016,9408512,1092912,0.0293298,805,194,44,43,0,311608,11335680,725771520,12416,1000064,1816,1169102,1049614,16384,16384,9971456,0,32,0,32,16,32,64,29,8,128,128,64,64,44,43,0,3,3,0,41,2,0,0,0,0,4594,919,0.324266,1,0.384113,0.630792,0.602829,0.355986,0.511694,0.0251196,0.254918,405.543,0.0882766,2791.71,0.607687
LOCI-NoPad,loci,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,nopad,mock,0,0.8,-1,312.466,1.77646,11.5114,4568,99986,7564608,68579,36544,0,0,3508224,877056,109632,3069696,1097264,0.145052,778,222,45,42,0,295743,308697,7378731,4662,213624,1764,1171200,0,505,505,9999,295743,2,0,32,0,32,64,29,8,24,24,21,24,45,42,0,3,3,0,41,1,0,0,0,0,4568,914,0.323851,1,0.964989,0.647333,0.617615,0.589168,0.51093,0.87684,0.181349,353.229,0.0773267,4253.22,0.93109
LOCI-NoPad,loci,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,nopad,mock,1,0.8,-1,312.26,1.82087,14.6456,4592,100010,7604352,68581,36736,0,0,3526656,881664,110208,3085824,1097296,0.144298,792,208,49,46,0,307071,320788,7666659,4368,233496,1802,1215160,0,510,510,10751,307071,2,0,32,0,32,64,29,8,24,24,21,24,49,46,0,3,3,0,45,1,0,0,0,0,4592,919,0.312296,1,0.960827,0.633413,0.61099,0.581066,0.515088,0.856326,0.232187,423.737,0.0922773,4303.48,0.937169
LOCI-NoPad,loci,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,nopad,mock,2,0.8,-1,311.827,1.82166,13.9333,4594,100012,7607664,68307,36752,0,0,3528192,882048,110256,3087168,1092912,0.143659,805,194,44,43,0,311608,324771,7764021,4074,215280,1816,1169102,0,497,497,10161,311608,2,0,32,0,32,64,29,8,24,24,21,24,44,43,0,3,3,0,41,2,0,0,0,0,4594,919,0.313384,1,0.964091,0.625746,0.602829,0.574382,0.511694,0.846935,0.254918,405.529,0.0882736,4326,0.941663
LOCI-NoCert,loci,100000,1000,1048576,32,32,1024,16,64,90,25,skew,hotspot,nocert,mock,0,0.8,-1,312.188,27.8386,0.360488,3125,99986,33346624,68082,25000,20734,0.304545,19352064,3200000,200256,6400000,1123424,0.0385363,778,222,3,0,0,202384,10788096,690724352,14208,29888,1764,23,4106448,16384,16384,6476288,0,32,0,0,16,32,64,0,0,0,0,64,0,3,0,0,3,3,0,0,0,0,0,0,0,3125,625,0.2112,1,0.3584,0.514888,0.668,0.3758,0.5024,0.0490753,-0.0081132,219.029,0.0700892,2045.25,0.654479
