case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity
LOCI-Full,loci,1000000,10000,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,full,mock,0,0.8,-1,4564.86,93.9414,137.617,1639,1000052,240502784,385261,13112,3291672,8.54401,214911232,3356672,419584,13426688,52395496,0.225732,7966,2034,277,188,0,902051,177540096,11538776320,130176,92462720,18018,5907950,61144128,32768,32768,115462528,0,128,0,1024,16,128,64,922,256,128,256,64,256,277,188,0,31,31,0,177,11,0,0,0,0,1639,328,0.143293,1,0.207317,0.406539,0.982547,0.503432,0.574193,0.0335658,0.175213,6.43868,0.00392842,1621.1,0.989078
LOCI-Full,loci,1000000,10000,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,full,mock,1,0.8,-1,4569.86,93.6308,133.544,1635,999993,239942528,385702,13080,3300572,8.55731,214392960,3348480,418560,13393920,52455472,0.226537,8045,1953,257,175,0,911608,178818560,11622458304,124992,85947904,18036,5732801,61189465,32768,32768,116685824,0,128,0,1024,16,128,64,922,256,128,256,64,256,257,175,0,30,30,0,163,12,0,0,0,0,1635,327,0.152905,1,0.183486,0.409948,0.985691,0.50344,0.531469,0.0340874,0.106971,6.19388,0.00378831,1617.1,0.989051
LOCI-Full,loci,1000000,10000,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,full,mock,2,0.8,-1,4533.17,93.0131,122.68,1625,999964,238528256,385418,13000,3300100,8.56239,213083648,3328000,416000,13312000,52416848,0.227761,8023,1976,257,177,0,896689,178817536,11619512960,126464,86513792,17986,5742882,63113152,32768,32768,114776192,0,128,0,1024,16,128,64,922,256,128,256,64,256,257,177,0,30,30,0,165,12,0,0,0,0,1625,325,0.135385,1,0.147692,0.404426,0.986878,0.504615,0.543929,0.0284301,0.139077,7.31877,0.00450386,1601.18,0.98534
LOCI-NoCert,loci,1000000,10000,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,nocert,mock,0,0.8,-1,4870.8,52.3419,10.5,977,1000052,214563008,384948,7816,5268728,13.6869,198976768,3012608,375744,8003584,77076704,0.366389,7966,2034,40,0,0,526792,89032192,5873624832,130176,9253504,18018,639,21044542,16384,16384,67429376,0,128,0,0,16,128,64,0,0,0,0,64,0,40,0,0,31,31,0,0,0,0,0,0,0,977,196,0.204082,1,0.132653,0.517263,0.986347,0.5,0.491844,0,0.0897599,1.23951,0.00126869,977,1
LOCI-NoCert,loci,1000000,10000,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,nocert,mock,1,0.8,-1,4870.54,52.1225,9.13302,977,999993,214152768,385399,7816,5265742,13.6631,198573440,3006464,374976,8003584,77157240,0.367488,8045,1953,33,0,0,530967,89650176,5914924928,124992,7351680,18036,762,21123667,16384,16384,67963776,0,128,0,0,16,128,64,0,0,0,0,64,0,33,0,0,30,30,0,0,0,0,0,0,0,977,196,0.219388,1,0.117347,0.497851,0.987124,0.5,0.482064,0,-0.0531325,1.2825,0.00131269,977,1
LOCI-NoCert,loci,1000000,10000,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,nocert,mock,2,0.8,-1,4840.08,52.5023,9.82781,977,999964,213772672,385118,7816,5243626,13.6156,198199040,3001344,374400,8003584,76786064,0.366384,8023,1976,36,0,0,531376,89706496,5917829952,126464,8108800,17986,637,21127387,16384,16384,68016128,0,128,0,0,16,128,64,0,0,0,0,64,0,36,0,0,30,30,0,0,0,0,0,0,0,977,196,0.260204,1,0.117347,0.557429,0.983505,0.501921,0.487898,0.0262156,0.0066421,1.35415,0.00138602,971.018,0.993878
LOCI-NoPad,loci,1000000,10000,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,nopad,mock,0,0.8,-1,4208.78,17.8232,132.774,1639,1000052,59976528,385261,13112,3291672,8.54401,53446752,1888128,236016,4405632,52395496,0.8736,7966,2034,277,188,0,902051,1671150,147690990,42714,22414232,18018,5907950,0,452,452,737710,902051,32,0,1024,0,128,64,922,256,24,144,21,144,277,188,0,31,31,0,177,11,0,0,0,0,1639,328,0.140244,1,0.92378,0.414003,0.982547,0.963446,0.574193,0.988922,0.175213,6.05186,0.00369241,521.678,0.318291
LOCI-NoPad,loci,1000000,10000,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,nopad,mock,1,0.8,-1,4192.32,17.7792,118.546,1635,999993,59897888,385702,13080,3300572,8.55731,53384048,1883520,235440,4394880,52455472,0.875748,8045,1953,257,175,0,911608,1666910,148796227,41013,20526880,18036,5732801,0,469,469,723639,911608,24,0,1024,0,128,64,922,256,24,144,21,144,257,175,0,30,30,0,163,12,0,0,0,0,1635,327,0.165138,1,0.944954,0.409588,0.985691,0.974704,0.531469,0.987307,0.106971,5.84037,0.00357209,534.862,0.327133
LOCI-NoPad,loci,1000000,10000,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,nopad,mock,2,0.8,-1,4230.97,18.156,120.448,1625,999964,59610400,385418,13000,3300100,8.56239,53136400,1872000,234000,4368000,52416848,0.879324,8023,1976,257,177,0,896689,1613565,145848361,41496,20760232,17986,5742882,0,439,439,685373,896689,26,0,1024,0,128,64,922,256,24,144,21,144,257,177,0,30,30,0,165,12,0,0,0,0,1625,325,0.144615,1,0.916923,0.413032,0.986878,0.968322,0.543929,0.963153,0.139077,6.91015,0.0042524,530.812,0.326653
LOCI-NoPublicRefresh,loci,1000000,10000,1048576,1024,128,1024,16,64,90,25,skew,skew_hotspot_drift_mix,nopublicrefresh,mock,0,0.8,-1,4508.64,87.6037,124.145,1629,1000052,239089664,385263,13032,3303252,8.57402,213603072,3336192,417024,13344768,52395768,0.227115,7966,2034,248,178,0,902030,177540096,11538772288,130176,85524096,18018,5817040,61146837,32768,32768,115459840,0,128,0,1024,16,128,0,922,256,128,256,64,256,248,178,0,0,0,0,178,0,0,0,0,0,1629,326,0.144172,1,0.214724,0.403371,0.982824,0.502302,0.580077,0.0245218,0.191761,6.74217,0.00413884,1617.04,0.992661
