case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity
PGM-Learned-Naive,pgm,10000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,0,0.8,-1,2.05203,0.750858,0.0167222,10,9986,84782,0,0,0,0,0,0,0,0,0,0,778,222,0,0,0,2078,24895,17404189,4662,0,1778,43,0,116,116,22817,2078,29,778,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,10,10,0,10,2,0.5,1,1,0.6875,1,1,0.5,0.994896,0,1,0.1,3,0.3
PGM-Learned-Naive,pgm,10000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,1,0.8,-1,1.98514,0.798724,0.0174873,10,10010,84488,0,0,0,0,0,0,0,0,0,0,792,208,0,0,0,2274,25616,19013598,4368,0,1792,22,0,113,113,23342,2274,31,792,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,10,10,0,10,2,0.5,1,1,0.6875,1,1,0.5,0.9964,0,1,0.1,1.4,0.14
PGM-Learned-Naive,pgm,10000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,2,0.8,-1,1.9865,0.764062,0.0178285,10,10011,84215,0,0,0,0,0,0,0,0,0,0,805,195,0,0,0,2177,23610,18196921,4095,0,1805,40,0,105,105,21433,2177,25,805,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,10,10,0,10,2,0.5,1,1,0.8125,1,1,0.5,0.997567,0,1,0.1,1.2,0.12
LOCI-Full,loci,10000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,0,0.8,-1,55.8168,0.903356,0.757425,19,9986,2756864,9473,152,77978,8.23161,2491904,38912,4864,155648,1288328,0.478696,778,222,19,5,0,3549,754176,49226304,14208,4111360,1764,7507,293571,2048,2048,454272,0,128,0,1024,16,128,64,922,256,128,256,64,256,19,5,0,3,3,0,3,2,0,0,0,0,19,4,0.25,1,0,0.583333,1,0.5,0.55,0,0.357105,1,0.0526316,19,1
LOCI-Full,loci,10000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,1,0.8,-1,54.8866,0.874332,0.812505,19,10010,2756864,9455,152,77716,8.21957,2491904,38912,4864,155648,1285880,0.477786,792,208,20,5,0,3513,738304,48208576,13312,4252544,1802,7771,282289,2048,2048,449664,0,128,0,1024,16,128,64,922,256,128,256,64,256,20,5,0,3,3,0,4,1,0,0,0,0,19,4,0.25,1,0,0.533333,1,0.5,0.35,0,0.156335,1,0.0526316,19,1
LOCI-Full,loci,10000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,2,0.8,-1,55.7271,0.751033,0.854248,20,10011,2897920,9492,160,76106,8.01791,2622464,40960,5120,163840,1290912,0.455769,805,195,18,6,0,3044,600832,39325120,12480,4253056,1816,5509,205263,2048,2048,389632,0,128,0,1024,16,128,64,922,256,128,256,64,256,18,6,0,3,3,0,4,2,0,0,0,0,20,4,0.5,1,0,0.6875,1,0.5,0.359375,0,0.14456,1,0.05,20,1
PGM-Learned-GlobalPad,pgm,10000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,0,0.8,-1,2.91402,1.28317,0.0202886,10,9986,376832,0,0,0,0,0,0,0,0,0,0,778,222,3,0,0,2078,1003620,98144640,14208,73728,1778,43,735558,1290,1290,265984,0,128,0,1152,1290,128,64,0,0,0,0,64,16384,3,0,0,3,3,0,0,0,0,10,10,0,10,2,0.5,1,0,0.625,1,0.5,0.3125,0,-0.614135,1,0.1,10,1
PGM-Learned-GlobalPad,pgm,10000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,1,0.8,-1,2.8644,1.35122,0.0222961,10,10010,376832,0,0,0,0,0,0,0,0,0,0,792,208,3,0,0,2274,1021680,102499200,13312,73728,1792,22,728334,1290,1290,291072,0,128,0,1152,1290,128,64,0,0,0,0,64,16384,3,0,0,3,3,0,0,0,0,10,10,0,10,2,0.5,1,0,0.8125,1,0.5,0.3125,0,-0.771361,1,0.1,10,1
PGM-Learned-GlobalPad,pgm,10000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,2,0.8,-1,2.86663,1.30955,0.0222145,10,10011,376832,0,0,0,0,0,0,0,0,0,0,805,195,3,0,0,2177,1038450,101989440,12480,73728,1805,40,757617,1290,1290,278656,0,128,0,1152,1290,128,64,0,0,0,0,64,16384,3,0,0,3,3,0,0,0,0,10,10,0,10,2,0,1,0,0.5625,1,0.5,0.3125,0,-0.596784,1,0.1,10,1
FixedCell-Bitmap,fixedcell,10000,1000,1048576,1024,128,1024,16,64,90,25,skew,skew,bitmap,mock,0,0.8,-1,1.90444,0.950944,0.0557091,10,9986,84782,0,0,0,0,0,0,0,0,0,0,778,222,0,0,0,832,31384,23632120,4662,0,0,0,0,137,137,30552,832,126,778,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,10,10,0,10,2,0.5,1,1,0.9375,0.96875,0.96875,0.5,0.999827,0,1,0.1,1.6,0.16
