case,scheme,N,ops,U,B,theta,pad_pool,fanout_class,refresh_period,split_load_percent,merge_load_percent,dist,workload,variant,crypto,seed,query_ratio,selectivity,build_ms,avg_query_ms,avg_update_ms,update_total_latency_ms,patch_update_latency_ms,maintenance_latency_ms,refresh_latency_ms,refresh_count,scheduled_refresh_count,forced_log_refresh_count,public_rollover_count,split_count,merge_count,guide_retrain_count,locator_rebuild_count,logical_cells,active,server_bytes,lbc_boundary_count,lbc_prototype_count,lbc_repair_entries,lbc_avg_repair,lbc_desc_bytes,lbc_proto_bytes,lbc_full_bytes,lbc_log_bytes,lbc_raw_bitmap_bytes,lbc_compression_ratio,searches,updates,refreshes,splits,merges,touched_cells,fetched_objects,response_bytes,patch_bytes,refresh_bytes,guide_locates,guide_corrections,token_padding_refs,max_token_refs,max_fanout_class,log_refs,raw_log_length_exposures,max_visible_log_refs_per_cell,ordered_token_exposures,cert_capacity_class,cert_fanout_class,cert_log_class,cert_maintenance_class,cert_split_load_class,cert_merge_load_class,cert_desc_object_class,cert_proto_object_class,cert_patch_object_class,cert_full_object_class,refresh_class_events,split_class_events,merge_class_events,public_refresh_ticks,scheduled_refreshes,forced_log_refreshes,forced_capacity_splits,public_split_events,public_merge_events,cert_candidate_cells,cert_certified_cells,cert_capacity_overflow_splits,eval_cells,eval_top_k,eval_region_precision_at_k,eval_hotspot_precision_at_k,eval_log_profile_precision_at_k,eval_region_auc,eval_hotspot_auc,eval_log_growth_auc,eval_maintenance_auc,eval_log_length_correlation,eval_maintenance_correlation,eval_ambiguity_size,eval_normalized_ambiguity,eval_log_ambiguity_size,eval_normalized_log_ambiguity,dataset,attribute
PGM-Learned-Naive,pgm,10000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,0,0.8,-1,2.0948,0.684829,0.0118436,0.0118436,0.0114936,0,0,0,0,0,0,0,0,0,0,10,9990,82430,0,0,0,0,0,0,0,0,0,0,390,110,0,0,0,1046,6652,8631910,2310,0,890,25,0,65,65,5606,1046,16,390,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,10,10,0,10,2,0.5,1,1,0.5625,1,1,0.5,1,0,1,0.1,1.6,0.16,synthetic,value
LOCI-Full,loci,10000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,0,0.8,-1,66.1725,0.810823,1.13443,1.13443,0.00383455,1.12484,7.49222,12,1,0,1,4,0,4,16,18,9990,2615424,9479,144,79404,8.37683,2360960,36864,4608,147456,1289144,0.505569,390,110,12,4,0,1730,365056,23835008,7040,2835200,880,3138,140490,2048,2048,221440,0,128,0,1024,16,128,64,922,256,128,256,64,256,12,4,0,1,1,0,3,1,0,0,0,0,18,4,0.25,1,0,0.607143,0.982143,0.5,0.553571,0,0.424204,1,0.0555556,18,1,synthetic,value
PGM-Learned-GlobalPad,pgm,10000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,0,0.8,-1,3.796,1.21885,0.01502,0.01502,0.0130864,0.00147364,0.1621,1,1,0,1,0,0,0,0,10,9990,376832,0,0,0,0,0,0,0,0,0,0,390,110,1,0,0,1046,503100,49269120,7040,24576,890,25,368166,1290,1290,133888,0,128,0,1152,1290,128,64,0,0,0,0,64,16384,1,0,0,1,1,0,0,0,0,10,10,0,10,2,0.5,1,0,0.5,1,0.5,0.4375,0,-0.278909,1,0.1,10,1,synthetic,value
PGM-Learned-Naive,pgm,25000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,0,0.8,-1,5.5735,1.65072,0.0140482,0.0140482,0.0136491,0,0,0,0,0,0,0,0,0,0,25,24990,202610,0,0,0,0,0,0,0,0,0,0,390,110,0,0,0,2144,6867,17630959,2310,0,890,14,0,68,68,4723,2144,10,390,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,25,25,0,25,5,0.2,1,1,0.51,1,1,0.5,0.988517,0,1,0.04,4.04,0.1616,synthetic,value
LOCI-Full,loci,25000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,0,0.8,-1,157.053,2.02136,1.38399,1.38399,0.00502364,1.37239,10.0526,9,1,0,1,5,0,5,14,40,24990,5931520,22116,320,192390,8.69913,5249536,81920,10240,327680,3007776,0.53053,390,110,9,5,0,3258,696832,45363840,7040,2693120,880,6997,275124,4096,4096,417024,0,128,0,1024,16,128,64,922,256,128,256,64,256,9,5,0,1,1,0,4,1,0,0,0,0,40,8,0.25,1,0.125,0.597656,0.994141,0.5,0.443359,0,-0.104627,1,0.025,40,1,synthetic,value
PGM-Learned-GlobalPad,pgm,25000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,0,0.8,-1,9.6152,3.19372,0.0152164,0.0152164,0.0134264,0.00113,0.1243,1,1,0,1,0,0,0,0,25,24990,876544,0,0,0,0,0,0,0,0,0,0,390,110,1,0,0,2144,1257750,115486080,7040,24576,890,14,981174,3225,3225,274432,0,128,0,1152,3225,128,64,0,0,0,0,64,16384,1,0,0,1,1,0,0,0,0,25,25,0,25,5,0,1,0,0.47,1,0.5,0.475,0,-0.0350707,1,0.04,25,1,synthetic,value
PGM-Learned-Naive,pgm,50000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,naive,mock,0,0.8,-1,12.4071,3.70308,0.01546,0.01546,0.0147782,0,0,0,0,0,0,0,0,0,0,49,49990,402898,0,0,0,0,0,0,0,0,0,0,390,110,0,0,0,3889,8197,31978928,2310,0,890,35,0,77,77,4308,3889,5,390,0,0,128,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,49,49,0,49,10,0.3,1,1,0.487179,1,0.987179,0.5,0.970487,0,1,0.0204082,9.85714,0.201166,synthetic,value
LOCI-Full,loci,50000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,full,mock,0,0.8,-1,299.683,4.05076,3.17218,3.17218,0.00765364,3.15325,15.8711,12,1,0,1,8,0,8,20,79,49990,11718656,39878,632,346140,8.67997,10365184,161792,20224,647168,5423408,0.484476,390,110,12,8,0,5568,970752,63342592,7040,3967360,880,11270,251012,8192,8192,712704,0,128,0,1024,16,128,64,922,256,128,256,64,256,12,8,0,1,1,0,7,1,0,0,0,0,79,16,0.25,1,0.3125,0.597222,0.982639,0.5,0.483135,0,0.00379611,1.17722,0.0149015,79,1,synthetic,value
PGM-Learned-GlobalPad,pgm,50000,500,1048576,1024,128,1024,16,64,90,25,skew,skew,globalpad,mock,0,0.8,-1,16.4177,7.18117,0.0184318,0.0184318,0.0154482,0.00207273,0.228,1,1,0,1,0,0,0,0,49,49990,1728512,0,0,0,0,0,0,0,0,0,0,390,110,1,0,0,3889,2465190,221240640,7040,24576,890,35,1963509,6321,6321,497792,0,128,0,1152,6321,128,64,0,0,0,0,64,16384,1,0,0,1,1,0,0,0,0,49,49,0,49,10,0.2,1,0.3,0.423077,1,0.5,0.487179,0,-0.176551,1.08163,0.0220741,49,1,synthetic,value
FBDSSE-RQ-TreeCover,fbdsse,10000,300,1048576,1024,128,1024,16,64,90,25,skew,skew,treecover,mock,0,0.8,-1,139.287,49.3622,0.136903,0.136903,0.134928,0,0,0,0,0,0,0,0,0,0,59494,9992,1580784,0,0,0,0,0,0,0,0,0,0,240,60,0,0,0,3423,4795,328193692,26460,0,0,0,0,45,45,0,0,0,0,1048576,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3333,667,0.409295,1,1,0.710914,0.979568,0.5,0.979568,0,1,178.754,0.0536316,3333,1,synthetic,value
