paper_fig,benchmark_group,profile,dataset,workload,scheme,variant,N,ops,query_ratio,update_ratio,budget,selectivity,metric_name,metric_unit,metric_source,evaluator,auc_mode,is_paper_metric,mean,std,min,max,sample_count,seeds,source_csv,source_row_id,source_archive_or_run_id,config_file,config_hash,notes
fig10_workload,fig4_dynamic_refresh,paper_full,synthetic,burst,LOCI-Full,,1000000,,,,,,diagnostic_hotspot_auc,auc,attack_eval.py,attack_eval,raw_auc,false,0.985099636320243,0.0018739747111917887,0.9831342977800982,0.9876220312620653,3,"0,1,2",artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,preserved_from=hotspot_auc; excluded_from=max_cert_probe_auc
fig10_workload,fig4_dynamic_refresh,paper_full,synthetic,burst,LOCI-Full,,1000000,,,,,,diagnostic_region_auc,auc,attack_eval.py,attack_eval,raw_auc,false,0.5387280723313203,0.01991057030324517,0.5108269080828207,0.5559634664569468,3,"0,1,2",artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,preserved_from=region_auc; excluded_from=max_cert_probe_auc
fig10_workload,fig4_dynamic_refresh,paper_full,synthetic,burst,LOCI-Full,,1000000,,,,,,layout_shape_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,derived_from=layout_shape_auc
fig10_workload,fig4_dynamic_refresh,paper_full,synthetic,burst,LOCI-Full,,1000000,,,,,,layout_shape_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig10_workload,fig4_dynamic_refresh,paper_full,synthetic,burst,LOCI-Full,,1000000,,,,,,maintenance_cause_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,derived_from=maintenance_cause_auc
fig10_workload,fig4_dynamic_refresh,paper_full,synthetic,burst,LOCI-Full,,1000000,,,,,,maintenance_cause_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig10_workload,fig4_dynamic_refresh,paper_full,synthetic,burst,LOCI-Full,,1000000,,,,,,max_cert_probe_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,"derived_from=layout_shape_adv_auc,patch_pressure_adv_auc,maintenance_cause_adv_auc"
fig10_workload,fig4_dynamic_refresh,paper_full,synthetic,burst,LOCI-Full,,1000000,,,,,,patch_pressure_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,derived_from=patch_pressure_auc
fig10_workload,fig4_dynamic_refresh,paper_full,synthetic,burst,LOCI-Full,,1000000,,,,,,patch_pressure_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-Full__synthetic__burst__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig10_workload,fig4_dynamic_refresh,paper_full,synthetic,burst,LOCI-NoPad,,1000000,,,,,,diagnostic_hotspot_auc,auc,attack_eval.py,attack_eval,raw_auc,false,0.985099636320243,0.0018739747111917887,0.9831342977800982,0.9876220312620653,3,"0,1,2",artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-NoPad__synthetic__burst__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-NoPad__synthetic__burst__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig10_workload/attacks/fig4__LOCI-NoPad__synthetic__burst__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,preserved_from=hotspot_auc; excluded_from=max_cert_probe_auc
