paper_fig,benchmark_group,profile,dataset,workload,scheme,variant,N,ops,query_ratio,update_ratio,budget,selectivity,metric_name,metric_unit,metric_source,evaluator,auc_mode,is_paper_metric,mean,std,min,max,sample_count,seeds,source_csv,source_row_id,source_archive_or_run_id,config_file,config_hash,notes
fig12_budget,fig6_tradeoff,paper_full,LOCI-Full,hotspot,LOCI-Full,full,100000,1000,0.8,,128,-1,forced_rollover_count,count,bench_wide.csv,benchmark,not_auc,true,0.0,0.0,0.0,0.0,3,"0,1,2",artifact_results_sp/raw/paper_full/fig12_budget/bench_wide.csv,row30;row31;row32,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig12_budget,fig6_tradeoff,paper_full,LOCI-Full,hotspot,LOCI-Full,full,100000,1000,0.8,,128,-1,patch_update_latency_ms,ms,bench_wide.csv,benchmark,not_auc,true,14.659933333333333,2.9643373540960027,11.1581,18.4068,3,"0,1,2",artifact_results_sp/raw/paper_full/fig12_budget/bench_wide.csv,row30;row31;row32,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig12_budget,fig6_tradeoff,paper_full,LOCI-Full,hotspot,LOCI-Full,full,100000,1000,0.8,,128,-1,refresh_count,count,bench_wide.csv,benchmark,not_auc,true,50.0,5.0990195135927845,45.0,57.0,3,"0,1,2",artifact_results_sp/raw/paper_full/fig12_budget/bench_wide.csv,row30;row31;row32,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig12_budget,fig6_tradeoff,paper_full,LOCI-Full,hotspot,LOCI-Full,full,100000,1000,0.8,,128,-1,response_bytes,bytes,bench_wide.csv,benchmark,not_auc,true,940544.7970218506,35502.9687548872,893285.8406169666,978858.7726708074,3,"0,1,2",artifact_results_sp/raw/paper_full/fig12_budget/bench_wide.csv,row30;row31;row32,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig12_budget,fig6_tradeoff,paper_full,LOCI-Full,hotspot,LOCI-Full,full,100000,1000,0.8,,128,-1,response_mib,MiB,derived,derived_summary,not_auc,true,0.8969734163492685,0.033858269457709506,0.851903763405768,0.9335124708850931,3,"0,1,2",artifact_results_sp/raw/paper_full/fig12_budget/bench_wide.csv,row30;row31;row32,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig12_budget,fig6_tradeoff,paper_full,LOCI-Full,hotspot,LOCI-Full,full,100000,1000,0.8,,128,-1,scheduled_refresh_count,count,bench_wide.csv,benchmark,not_auc,true,3.0,0.0,3.0,3.0,3,"0,1,2",artifact_results_sp/raw/paper_full/fig12_budget/bench_wide.csv,row30;row31;row32,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig12_budget,fig6_tradeoff,paper_full,LOCI-Full,hotspot,LOCI-Full,full,100000,1000,0.8,,128,-1,search_latency_ms,ms,bench_wide.csv,benchmark,not_auc,true,32.97423333333334,1.1783901909903285,31.3747,34.179,3,"0,1,2",artifact_results_sp/raw/paper_full/fig12_budget/bench_wide.csv,row30;row31;row32,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig12_budget,fig6_tradeoff,paper_full,LOCI-Full,hotspot,LOCI-Full,full,100000,1000,0.8,,128,-1,server_storage_bytes,bytes,bench_wide.csv,benchmark,not_auc,true,39424938.666666664,206732.86124422072,39134080.0,39596032.0,3,"0,1,2",artifact_results_sp/raw/paper_full/fig12_budget/bench_wide.csv,row30;row31;row32,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig12_budget,fig6_tradeoff,paper_full,LOCI-Full,hotspot,LOCI-Full,full,100000,1000,0.8,,128,-1,server_storage_mib,MiB,derived,derived_summary,not_auc,true,37.598551432291664,0.19715582012579033,37.3211669921875,37.76171875,3,"0,1,2",artifact_results_sp/raw/paper_full/fig12_budget/bench_wide.csv,row30;row31;row32,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig12_budget,fig6_tradeoff,paper_full,LOCI-Full,hotspot,LOCI-Full,full,100000,1000,0.8,,128,-1,update_latency_ms,ms,bench_wide.csv,benchmark,not_auc,true,14.659933333333333,2.9643373540960027,11.1581,18.4068,3,"0,1,2",artifact_results_sp/raw/paper_full/fig12_budget/bench_wide.csv,row30;row31;row32,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
