paper_fig,benchmark_group,profile,dataset,workload,scheme,variant,N,ops,query_ratio,update_ratio,budget,selectivity,metric_name,metric_unit,metric_source,evaluator,auc_mode,is_paper_metric,mean,std,min,max,sample_count,seeds,source_csv,source_row_id,source_archive_or_run_id,config_file,config_hash,notes
fig6_mechanism,fig_mechanism,paper_full,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,real_cell_load,count,mechanism CSV,mechanism,not_auc,true,1020.4557823129252,50.133051719680125,319.0,1030.0,588,"0,1,2",artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,count=588;first=row0;last=row99,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig6_mechanism,fig_mechanism,paper_full,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,touch_skew,ratio,derived,derived_summary,not_auc,true,3.6666666666666665,0.6236095644623235,3.0,4.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,count=169;first=row568;last=row736;count=170;first=row1000;last=row999;count=176;first=row196;last=row371,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,derived_from=update_touches; value=max_cell_touches/median_cell_touches
fig6_mechanism,fig_mechanism,paper_full,geolife_lat,real_temporal,PGM-Learned-Naive,,,,,,,,update_touches,count,mechanism CSV,mechanism,not_auc,true,2.450485436893204,1.3097745886559633,1.0,9.0,515,"0,1,2",artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,count=515;first=row1000;last=row999,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig6_mechanism,fig_mechanism,paper_full,gowalla_location,real_temporal,PGM-Learned-Naive,,,,,,,,real_cell_load,count,mechanism CSV,mechanism,not_auc,true,1020.4625850340136,50.2518517083731,318.0,1030.0,588,"0,1,2",artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,count=588;first=row1103;last=row2044,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig6_mechanism,fig_mechanism,paper_full,gowalla_location,real_temporal,PGM-Learned-Naive,,,,,,,,touch_skew,ratio,derived,derived_summary,not_auc,true,3.3333333333333335,0.23570226039551584,3.0,3.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,count=172;first=row2045;last=row2216;count=175;first=row1299;last=row1473;count=179;first=row1670;last=row1848,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,derived_from=update_touches; value=max_cell_touches/median_cell_touches
fig6_mechanism,fig_mechanism,paper_full,gowalla_location,real_temporal,PGM-Learned-Naive,,,,,,,,update_touches,count,mechanism CSV,mechanism,not_auc,true,2.3992395437262357,1.3255027712574563,1.0,7.0,526,"0,1,2",artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,count=526;first=row1299;last=row2216,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig6_mechanism,fig_mechanism,paper_full,nyc_time,real_temporal,PGM-Learned-Naive,,,,,,,,real_cell_load,count,mechanism CSV,mechanism,not_auc,true,1020.4557823129252,50.133085643002914,320.0,1028.0,588,"0,1,2",artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,count=588;first=row2217;last=row3159,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig6_mechanism,fig_mechanism,paper_full,nyc_time,real_temporal,PGM-Learned-Naive,,,,,,,,touch_skew,ratio,derived,derived_summary,not_auc,true,3.6666666666666665,0.4714045207910317,3.0,4.0,3,"0,1,2",artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,count=175;first=row3160;last=row3334;count=177;first=row2413;last=row2589;count=178;first=row2786;last=row2963,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,derived_from=update_touches; value=max_cell_touches/median_cell_touches
fig6_mechanism,fig_mechanism,paper_full,nyc_time,real_temporal,PGM-Learned-Naive,,,,,,,,update_touches,count,mechanism CSV,mechanism,not_auc,true,2.3811320754716983,1.3409454006266426,1.0,8.0,530,"0,1,2",artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,count=530;first=row2413;last=row3334,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig6_mechanism,fig_mechanism,paper_full,synthetic,skew_hotspot_drift_mix,PGM-Learned-Naive,,,,,,,,touch_skew,ratio,derived,derived_summary,not_auc,true,17.375,1.6425336120355853,15.75,19.625,3,"0,1,2",artifact_results_sp/raw/paper_full/fig6_mechanism/fig_mechanism_cell_load_touch_skew.csv,count=195;first=row4315;last=row4509;count=196;first=row3531;last=row3726;count=196;first=row3923;last=row4118,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,derived_from=update_touches; value=max_cell_touches/median_cell_touches
