paper_fig,benchmark_group,profile,dataset,workload,scheme,variant,N,ops,query_ratio,update_ratio,budget,selectivity,metric_name,metric_unit,metric_source,evaluator,auc_mode,is_paper_metric,mean,std,min,max,sample_count,seeds,source_csv,source_row_id,source_archive_or_run_id,config_file,config_hash,notes
fig7_attack_auc,fig2_component_ablation,paper_full,synthetic,skew_hotspot_drift_mix,LOCI-Full,,1000000,,,,,,diagnostic_hotspot_auc,auc,attack_eval.py,attack_eval,raw_auc,false,0.9850387943204243,0.0018274636745677214,0.9825468363379286,0.9868781065088758,3,"0,1,2",artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,preserved_from=hotspot_auc; excluded_from=max_cert_probe_auc
fig7_attack_auc,fig2_component_ablation,paper_full,synthetic,skew_hotspot_drift_mix,LOCI-Full,,1000000,,,,,,diagnostic_region_auc,auc,attack_eval.py,attack_eval,raw_auc,false,0.9935190899122035,0.0013193007028090848,0.9916865942196247,0.9947391488332729,3,"0,1,2",artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,preserved_from=region_auc; excluded_from=max_cert_probe_auc
fig7_attack_auc,fig2_component_ablation,paper_full,synthetic,skew_hotspot_drift_mix,LOCI-Full,,1000000,,,,,,layout_shape_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,derived_from=layout_shape_auc
fig7_attack_auc,fig2_component_ablation,paper_full,synthetic,skew_hotspot_drift_mix,LOCI-Full,,1000000,,,,,,layout_shape_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig7_attack_auc,fig2_component_ablation,paper_full,synthetic,skew_hotspot_drift_mix,LOCI-Full,,1000000,,,,,,maintenance_cause_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,derived_from=maintenance_cause_auc
fig7_attack_auc,fig2_component_ablation,paper_full,synthetic,skew_hotspot_drift_mix,LOCI-Full,,1000000,,,,,,maintenance_cause_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig7_attack_auc,fig2_component_ablation,paper_full,synthetic,skew_hotspot_drift_mix,LOCI-Full,,1000000,,,,,,max_cert_probe_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,"derived_from=layout_shape_adv_auc,patch_pressure_adv_auc,maintenance_cause_adv_auc"
fig7_attack_auc,fig2_component_ablation,paper_full,synthetic,skew_hotspot_drift_mix,LOCI-Full,,1000000,,,,,,patch_pressure_adv_auc,auc,derived,derived_summary,adv_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,derived_from=patch_pressure_auc
fig7_attack_auc,fig2_component_ablation,paper_full,synthetic,skew_hotspot_drift_mix,LOCI-Full,,1000000,,,,,,patch_pressure_auc,auc,attack_eval.py,attack_eval,raw_auc,true,0.5,0.0,0.5,0.5,3,"0,1,2",artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-Full__synthetic__skew_hotspot_drift_mix__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,
fig7_attack_auc,fig2_component_ablation,paper_full,synthetic,skew_hotspot_drift_mix,LOCI-NoCert,,1000000,,,,,,diagnostic_hotspot_auc,auc,attack_eval.py,attack_eval,raw_auc,false,0.9856585399844957,0.0015555546566291063,0.9835049256578432,0.987124042959053,3,"0,1,2",artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-NoCert__synthetic__skew_hotspot_drift_mix__N1000000__s0.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-NoCert__synthetic__skew_hotspot_drift_mix__N1000000__s1.csv;artifact_results_sp/raw/paper_full/fig7_attack_auc/attacks/fig2__LOCI-NoCert__synthetic__skew_hotspot_drift_mix__N1000000__s2.csv,row0,eval_full_sp,artifact_results_sp/configs/eval_full_sp.yaml,3df982f4955839fae82b15c7031cdc835ded16a77ca23570645762f092391751,preserved_from=hotspot_auc; excluded_from=max_cert_probe_auc
